🔬 Force-Directed Thermal Diffusion with Optimized Parameters
==============================================================
🎯 Deep geological time: 1 million years of thermal evolution
   Realistic foundry heat: 1800K foundry with gradient to 1523K melting point
   Foundry layers (0-20km): 1800K-1523K (realistic asthenosphere heat)
   Surface radiation: Stefan-Boltzmann T^4 radiation to space (top layers only)
📊 Initial Setup:
   60 thermal nodes
   🔥 HEAT SOURCE: Core heat input at bottom layer
   ❄️  HEAT SINK: Space radiation cooling at top layer
📊 Initial Setup:
   60 thermal nodes (doubled depth to 200km)
   🔥 HEAT SOURCE: Core heat engine (8 layers, 0-40km)
   ❄️  HEAT SINK: Space cooling sink (8 layers, 160-200km)
   ⚡ EXPONENTIAL DIFFUSION: 2 neighbors each side with falloff

🌡️  Initial Temperature Profile (REALISTIC GEOLOGICAL HEAT):
   Foundry layers (0-20km): 1800K → 1523K (realistic asthenosphere)
   Lithosphere (20-160km): Variable geothermal gradient
   Surface layers (160-300km): 400K → 80K (natural cooling + T^4 radiation)

🌡️  Running scientifically calibrated thermal equilibration...
   Step 9100: Range=843.6K, Surface=1800.0K, Core=1036.6K, Boundary=(1699.2K,1714.2K)
   Step 9200: Range=832.3K, Surface=1800.0K, Core=1045.9K, Boundary=(1698.8K,1713.7K)
   Step 9300: Range=821.0K, Surface=1800.0K, Core=1055.2K, Boundary=(1698.4K,1713.2K)
   Step 9400: Range=809.8K, Surface=1800.0K, Core=1064.4K, Boundary=(1697.9K,1712.7K)
   Step 9500: Range=798.6K, Surface=1800.0K, Core=1073.7K, Boundary=(1697.5K,1712.2K)
   Step 9600: Range=787.4K, Surface=1800.0K, Core=1082.9K, Boundary=(1697.0K,1711.7K)
   Step 9700: Range=776.1K, Surface=1800.0K, Core=1092.2K, Boundary=(1696.6K,1711.2K)
   Step 9800: Range=764.9K, Surface=1800.0K, Core=1101.4K, Boundary=(1696.2K,1710.7K)
   Step 9900: Range=753.7K, Surface=1800.0K, Core=1110.6K, Boundary=(1695.7K,1710.1K)
   Step 10000: Range=742.5K, Surface=1800.0K, Core=1119.9K, Boundary=(1695.3K,1709.6K)
   Step 10100: Range=731.2K, Surface=1800.0K, Core=1129.1K, Boundary=(1694.8K,1709.1K)
   Step 10200: Range=720.0K, Surface=1800.0K, Core=1138.3K, Boundary=(1694.4K,1708.6K)
   Step 10300: Range=708.8K, Surface=1800.0K, Core=1147.6K, Boundary=(1694.0K,1708.1K)
   Step 10400: Range=697.6K, Surface=1800.0K, Core=1156.7K, Boundary=(1693.5K,1707.6K)
   Step 10500: Range=686.6K, Surface=1800.0K, Core=1165.7K, Boundary=(1693.1K,1707.1K)
   Step 10600: Range=676.0K, Surface=1800.0K, Core=1174.4K, Boundary=(1692.6K,1706.6K)
   Step 10700: Range=665.7K, Surface=1800.0K, Core=1182.8K, Boundary=(1692.2K,1706.1K)
   Step 10800: Range=655.7K, Surface=1800.0K, Core=1190.8K, Boundary=(1691.8K,1705.6K)
   Step 10900: Range=646.1K, Surface=1800.0K, Core=1198.5K, Boundary=(1691.3K,1705.0K)
   Step 11000: Range=636.9K, Surface=1800.0K, Core=1205.8K, Boundary=(1690.9K,1704.5K)
   Step 11100: Range=628.0K, Surface=1800.0K, Core=1212.8K, Boundary=(1690.4K,1704.0K)
   Step 11200: Range=619.4K, Surface=1800.0K, Core=1219.4K, Boundary=(1690.0K,1703.5K)
   Step 11300: Range=611.1K, Surface=1800.0K, Core=1225.8K, Boundary=(1689.6K,1703.0K)
   Step 11400: Range=603.1K, Surface=1800.0K, Core=1231.9K, Boundary=(1689.1K,1702.5K)
   Step 11500: Range=595.2K, Surface=1800.0K, Core=1237.8K, Boundary=(1688.7K,1702.0K)
   Step 11600: Range=587.6K, Surface=1800.0K, Core=1243.5K, Boundary=(1688.2K,1701.4K)
   Step 11700: Range=580.2K, Surface=1800.0K, Core=1249.0K, Boundary=(1687.8K,1700.9K)
   Step 11800: Range=573.0K, Surface=1800.0K, Core=1254.2K, Boundary=(1687.3K,1700.4K)
   Step 11900: Range=566.1K, Surface=1800.0K, Core=1259.3K, Boundary=(1686.9K,1699.9K)
   Step 12000: Range=559.3K, Surface=1800.0K, Core=1264.3K, Boundary=(1686.5K,1699.4K)
   Step 12100: Range=552.7K, Surface=1800.0K, Core=1269.0K, Boundary=(1686.0K,1698.8K)
   Step 12200: Range=546.3K, Surface=1800.0K, Core=1273.6K, Boundary=(1685.6K,1698.3K)
